无锡木棉花酒店 ,0510-85810111,0510-80266999
苏州城市假日酒店 ,0512-65686808,0512-65686809
苏州雕花楼宾馆  ,0512-66281510,0512-66281001、66281510
苏州蜂乐福商务会所（国际科技园五期创意产业园店） ,0512-62926300,0512-62925300
苏州观前假日酒店 ,0512-65248060,0512-85189999、65229705
苏州高新区中豪商务酒店 ,0512-68787668,0512-68787666
苏州海鸥湖心岛度假村 ,0512-66271527,0512-66318288
苏州金16区·新嘉福·驿栈  ,0512-65851335,0512-67076888
苏州九九商务宾馆 ,0512-61295533,0512-69363222
苏州乐园度假酒店（园区东环路店） ,0512-67253866,0512-67255888
苏州旅游饭店  ,0512-65332763,0512-65333878
苏州世纪之星商务宾馆 ,0512-69229780,0512-69223888
苏州水云天酒店 ,0512-66877928,0512-66877777
苏州太湖绿光休闲农场湖光山舍酒店 ,0512-66278413,0512-66375188
苏州天伦之乐大酒店 ,0512-68015040,0512-68013777
苏州新文宾馆 ,0512-65227588,0512-65230888
苏州新鲜港时尚酒店（唯亭店） ,0512-62965556,0512-62965553
苏州伊林德大酒店  ,0512-68127538,0512-68122222
苏州永利假日酒店  ,0512-69381618,0512-66058888
苏州银泉山庄大酒店 ,0512-66247770,0512-66242983
苏州阳山温泉度假山庄 ,0512-88186998,0512-88186999
苏州中翔广场酒店公寓 ,0512-69590889,0512-69590888
苏州植园饭店 ,0512-65301562,0512-65301990
24K国际连锁酒店（苏州桐泾北路店） ,0512-65335200,0512-65326101
99旅馆连锁（苏州阊门店） ,0512-67778399,0512-67778199
99旅馆连锁（苏州石路店） ,0512-67723899,0512-67725099
99旅馆连锁（苏州十梓街店） ,0512-67775199,0512-67773099
99旅馆连锁（苏州狮子林店） ,0512-67776998,0512-67776998
布丁酒店（苏州观前二店） ,0512-82103868,0512-82103868
布丁酒店（苏州观前三店） ,0512-87772773,0512-87162098
布丁酒店（苏州观前中心店） ,0512-67774832,0512-67774833
汉庭快捷酒店（苏州宝带西路店） ,0512-66097019,0512-66351000
汉庭快捷酒店（苏州木渎店） ,0512-66313555,0512-66313666
汉庭快捷酒店（苏州人民路南店） ,0512-69152000,0512-69156999
汉庭快捷酒店（苏州石路步行街店） ,0512-65581988,0512-65580988
汉庭快捷酒店（苏州三香店） ,0512-68653088,0512-87770678
汉庭快捷酒店（苏州桐泾店） ,0512-87779939,0512-87779938
汉庭快捷酒店（苏州相城大道店） ,0512-88183568,0512-88183658
汉庭快捷酒店（苏州相城黄埭店） ,0512-66730518,0512-66732666
汉庭快捷酒店（苏州新区何山路店） ,0512-66909885,0512-66901999
汉庭快捷酒店（苏州园区东环路店） ,0512-89188690,0512-89188699
汉庭快捷酒店（苏州园区金鸡湖店） ,0512-62801288,0512-62801088
汉庭快捷酒店（苏州竹辉路店） ,0512-65168889,0512-87779915
汉庭快捷酒店（苏州站前店） ,0512-67523993,0512-67523883
汉庭快捷酒店（苏州拙政园店） ,0512-87779399,0512-87779398
锦江之星（苏州观前街店） ,0512-65120003,0512-65120900
锦江之星（苏州乐园店） ,0512-68247933,0512-68081110
锦江之星（苏州留园店） ,0512-65832190,0512-65331266
锦江之星（苏州木渎珠江路店） ,0512-89186225,0512-89186666
锦江之星（苏州汽车南站店） ,0512-65776668,0512-65776788
锦江之星（苏州吴中宝带西路店） ,0512-67081700,0512-67088188
锦江之星（苏州相城大道店） ,0512-66152700,0512-66152888-0
锦江之星（苏州新区塔园路店） ,0512-66620200,0512-66620888
锦江之星（苏州行政中心店） ,0512-68633799,0512-68633777
锦江之星（苏州养育巷店） ,0512-65812200,0512-65812777
吉泰连锁酒店（苏州观前店） ,0512-67723861,0512-67723777
客林旅店（苏州滨河路店） ,0512-67776691,0512-67775551
客林旅店（苏州金屋路店） ,0512-67776691,0512-67775551
蓝色快舟都市旅店（苏州观前店） ,0512-65813573,0512-65232821
蓝色快舟都市旅店（苏州狮子林店） ,0512-69350043,0512-69350100
蛮好民宿（苏州碧螺山庄店） ,0512-68188911,0512-68188912
蛮好民宿（苏州白象湾店） ,0512-68188911,0512-68188912
蛮好民宿（苏州七宝泉店） ,0512-68188911,0512-68188912
蛮好民宿（苏州阳澄湖店） ,0512-68188911,0512-68188912
莫泰168（苏州观前街店） ,0512-67705555,0512-67703333
莫泰168（苏州火车站平齐路店） ,0512-67532456,0512-82106666
莫泰168（苏州三香路店） ,0512-68633911,0512-68633900
莫泰168（苏州相城大道店） ,0512-88189158,0512-88189168
如家快捷酒店（苏州东吴北路店） ,0512-67075333,0512-67075288
如家快捷酒店（苏州木渎香港街店） ,0512-66591999,0512-66591888
如家快捷酒店（苏州纳米科技园店） ,0512-65070999,0512-62811999
如家快捷酒店（苏州三香店） ,0579-85556228,0512-68291866、68638159
如家快捷酒店（苏州相城嘉元路店） ,0512-65790800,0512-65796088
如家快捷酒店（苏州新区长江路何山路店） ,0512-68762999,0512-68761999
如家快捷酒店（苏州拙政园店） ,0512-67288858,0512-67288808
尚客优连锁（苏州吴中广场店） ,0512-69383038,0512-69383000
书香门第商务酒店（苏州木渎店） ,0512-66310770,0512-66312000
苏州爱家酒店公寓（玲珑湾店） ,0512-62588548,0512-80988211
苏州奥林春天商务酒店 ,0512-68262000,0512-68260888
苏州北疆饭店 ,0512-61556188,0512-65114888
苏州柏雅·罗雅酒店公寓 ,0512-68180222,0512-68180111
苏州大江南酒店 ,0512-65851501,0512-65851000
苏州都市商务宾馆 ,0512-62600300,0512-62600600
苏州福临门宾馆 ,0512-67703500,0512-67770709
苏州宫大酒店 ,0512-65585881,0512-65585882
苏州国合假日饭店 ,0512-62822000,0512-62826688
苏州古吴饭店 ,0512-68273804,0512-68261122
苏州国香园宾馆 ,0512-62891799,0512-62891899
苏州公主花园宾馆 ,0512-65810641,0512-65810681
苏州好家大酒店 ,0512-65867555,0512-65869555
苏州翰林邻里假日酒店 ,0512-62869889,0512-62869009
苏州环龙商务酒店 ,0512-65090258,0512-68121666
苏州虎丘山庄 ,0512-82111922,0512-82111818
苏州虹盛商务宾馆 ,0512-65656761,0512-65656761
苏州锦德大酒店 ,0512-65225250,0512-65812188
苏州景旺8285酒店 ,0512-87779299,0512-68292969
苏州锦绣江南宾馆 ,0512-66579828,0512-66579818、66579828
苏州凯来经济型酒店 ,0512-68566656,0512-68566656、65137815
苏州玲珑·邻里假日酒店 ,0512-62759009,0512-62759889
苏州来运宾馆 ,0512-65586697,0512-65587696
苏州名典商旅酒店 ,0512-65813999,0512-65813888
苏州满福楼宾馆 ,0512-65030660,0512-65030166
苏州米兰华庭宾馆 ,0512-67700555,0512-67700222
苏州梦轩宾馆 ,0512-67575282,0512-67575723
苏州木香假日酒店 ,0512-66577036,0512-66386388
苏州榕城商务酒店 ,0512-80982262,0512-80982261
苏州瑞丰华庭商务酒店 ,0512-67513288,0512-67517388
苏州瑞丽时尚酒店 ,0512-65729232,0512-65721588、65729232
苏州师惠邻里假日酒店 ,0512-67618779,0512-67614571
苏州山塘客栈 ,0512-65333940,0512-65311066
苏州桐芳宾馆（原苏州观前临顿路速8酒店） ,0512-67271888,0512-67276950
苏州吴地人家大酒店 ,0512-87167766,0512-87659191
苏州威尼斯宾馆 ,0512-65327566,0512-65321167、65325196
苏州吴越宾馆 ,0512-65205278,0512-65208668
苏州新东吴珍珠大酒店 ,0512-65568123,0512-67039058
苏州忆家星程快捷酒店（寒山寺店） ,0512-68077987,0512-68071777
苏州雅沁阁宾馆 ,0512-65166571,0512-65294309
苏州园区新屹速8酒店 ,0512-67151966,0512-67151988
苏州豫园宾馆 ,0512-65239730,0512-65239730
苏州左邻右里假日宾馆 ,0512-67070349,0512-67072999
易佰连锁旅店（苏州汽车南站店） ,0512-67070054,0512-67070052 
苏州浙商商务酒店 ,0512-66836999,0512-66836111、66830517
客林旅店（苏州通安店） ,0512-67776691,0512-67775551
湖州枫丹白露花园大酒店 ,0572-2199266,0572-2066777
湖州太湖阳光雷迪森度假酒店 ,0572-2136666,0572-2136688
湖州宾馆  ,0572-2025698,0572-2022088、2022081
湖州白蘋洲大酒店  ,0572-2070790,0572-2028888
湖州吴兴皇冠大酒店 ,0572-2672266,0572-2606999、2676798（预订部直线）
湖州太湖山庄 ,0572-7299828,0572-7299999
莫泰168（湖州红旗路店） ,0572-2052221,0572-2052222
南浔小莲庄宾馆 ,0572-3037678,0572-2900900
湖州国际大酒店  ,0572-2037788,0572-2057788
湖州哥伦波太湖城堡 ,0572-2159008,0572-2159007
湖州嘉年华大酒店 ,0572-2119977,0572-2108888、2191436、2191466
湖州荻港渔庄  ,0572-3771761,0572-3772288
湖州华亭宾馆 ,0572-2020666,0572-2076666
湖州凯悦大酒店 ,0572-2026666,0572-2026802、2026803
湖州鸟之家乡村度假酒店（原湖州鸟之家户外庄园） ,0572-2096208,0572-2093777、2069822
湖州吴兴澳大利亚金色山庄 ,0572-3122180,0572-3122187
湖州紫金假日山庄  ,0572-2159800,0572-2159000
南浔景程假日酒店 ,0572-3017555,0572-3022888
湖州枫华洲际酒店 ,0572-2199900,0572-2199888
湖州富士大酒店 ,0572-3106768,0572-3072333
湖州南浔6.1风尚酒店 ,0572-3028687,0572-3056161
湖州鑫茂商务宾馆 ,0572-2167288,0572-2583888、2167287
湖州天煌大酒店  ,0572-2109168,0572-2117777
湖州南方大酒店 ,0572-3078899,0572-3078888
湖州南浔米兰商务酒店 ,0572-2994796,0572-3106666
锦江之星（湖州佰乐门店） ,0572-2032997,0572-2039888
海宁和平国际大酒店（原亚东国际大酒店） ,0573-87017788,0573-87017888
海宁海洲大饭店  ,0573-87289555,0573-87288888
海宁皮都锦江大酒店 ,0573-87019111,0573-87218888
海宁凯丽大酒店 ,0573-87012266,0573-87012222
海宁玉龙国际商务酒店  ,0573-87587999,0573-87587888
海宁大酒店  ,0573-87227335,0573-87282111
海宁国贸蓝海大酒店 ,0573-87969900,0573-87969999
海宁鸿翔商务酒店 ,0573-87399665,0573-87399666
海宁天鹅会酒店 ,0573-87396868,0573-87396700
海宁香榭丽酒店  ,0573-87286168,0573-87788888
格林豪泰（海宁火车站店）（原海宁蓝海店） ,0573-87286800,0573-87286888
海宁安可主题酒店 ,0573-87504588,0573-87504500
海宁龙城宾馆（原兴龙宾馆） ,0573-87259669,0573-87259666
海宁吴越乾门大酒店 ,0573-87281180,0573-87281111
海宁新世界大酒店 ,0573-87272188,0573-87282888
海宁宇诚商务宾馆 ,0573-87377388,0573-87028888
海宁粤海大酒店 ,0573-87007775,0573-87007775、87007776、87007778
海宁紫薇宾馆 ,0573-87295111,0573-87381888
青岛金狮壹佰（海宁店） ,0573-80700877,0573-80700888
如家快捷酒店（海宁火车站店） ,0573-87889188,0573-87263999
海宁百合天地度假酒店 ,0573-87809001,0573-87809000
海宁宾馆  ,0573-87023626,0573-87286666
海宁豪庭丽晶假日酒店 ,0573-87012800,0573-87036666
海宁花园酒店  ,0573-87231188,0573-87282999
海宁假日国际大酒店  ,0573-87281896,0573-87281888
海宁龙祥大酒店  ,0573-87227738,0573-87282828
海宁好旺角宾馆 ,0573-87479978,0573-87971999
海宁米兰假日酒店 ,0573-87283889,0573-87272666
海宁人间四月天商务宾馆 ,0573-87376920,0573-87399888
嘉兴文华园酒店  ,0573-82094639,0573-82159333
嘉兴香溢大酒店 ,0573-82099222,0573-82089988
万好万家快捷酒店（嘉兴店） ,0573-82189333,0573-82189188
嘉兴阳光大酒店  ,0573-82078998,0573-82082088
嘉兴戴梦得大酒店  ,0573-82097766,0573-82095888
如家快捷酒店（嘉兴中山东路店） ,0573-82032988,0573-82032188
嘉兴博雅酒店 ,0573-83918752,0573-83928888
嘉兴富悦大酒店 ,0573-82698269,0573-82198888
浙江南湖国际俱乐部（大酒店） ,0573-82511921,0573-82555555
嘉兴奥林匹克大酒店  ,0573-82237988,0573-83555555
嘉兴财富假日酒店 ,0573-82778566,0573-82723333
嘉兴月河客栈 ,0573-82301999,0573-82302666
嘉兴君临梅湾精品酒店 ,0573-83997779,0573-83987776、83997776
嘉兴新洲国际大酒店 ,0573-82771777、82280088,0573-82771888
维也纳国际酒店（嘉兴学院店） ,0573-82652818,0573-82652188
百度商务酒店（嘉兴火车站店） ,0573-82077099,0573-82589999
百度商务酒店（嘉兴汽车西站店） ,0573-83371822,0573-83371286
嘉兴城市宾馆 ,0573-82052569,0573-82715588
嘉兴和旭商务酒店 ,0573-82770778,0573-82770666
嘉兴金城望湖宾馆 ,0573-82158118,0573-82158118
嘉兴金门大酒店 ,0573-83258333,0573-83258333
嘉兴市花中城大酒店 ,0573-82076868,0573-83917588
嘉兴泰富商务酒店 ,0573-83375189,0573-83375188
嘉兴悦来商务宾馆 ,0573-82823322,0573-82821212
尚客优快捷酒店（嘉兴禾兴路店） ,0573-82339966,0573-82338000
嘉兴百嘉乐商务酒店 ,0573-82079181,0573-82065666
嘉兴东升宾馆  ,0573-82161789,0573-82161008
嘉兴光明大酒店 ,0573-82151811,0573-82151777
嘉兴观唐·乐居商务酒店 ,0573-83912669,0573-83912666
嘉兴君特酒店 ,0573-82778200,0573-82770000
嘉兴礼顿酒店 ,0573-83996899,0573-83996888
嘉兴市德亨酒店 ,0573-83979333,0573-83999888
嘉兴市沙龙国际宾馆  ,0573-83977682,0573-83918888 
维也纳国际酒店（嘉兴南湖店） ,0573-83695556,0573-83695555
布丁酒店（嘉兴少年路店） ,0573-82159566,0573-82159688
锦江之星（嘉兴火车站店） ,0573-82081088,0573-82067979
嘉兴奥德丽酒店 ,0573-83631988,0573-83631999
嘉兴博客假日酒店 ,0573-82858688,0573-82858111
嘉兴帝怡酒店 ,0573-82717352,0573-82723288
嘉兴金棕榈度假酒店 ,0573-82791266,0573-82796333
嘉兴朗朗假日酒店 ,0573-82133333,0573-82133333
嘉兴朗轩风尚商务宾馆 ,0573-82683131,0573-82681616
嘉兴南湖花园商务酒店 ,0573-82079279,0573-82098088
嘉兴吴越假日宾馆  ,0573-82161778,0573-82161000
嘉兴亿代商务酒店 ,0573-83976333,0573-83911111
嘉兴忆江南假日酒店 ,0573-83929789,0573-83966789
嘉兴易捷商务酒店 ,0573-82223325,0573-83966333
嘉兴元顺酒店 ,0573-82077817,0573-82096777
莫泰168（嘉兴店） ,0573-83965168,0573-83966168
骑士开心客栈（嘉兴店） ,0573-82159332,0573-82159211
建德半岛凯豪大酒店 ,0571-64075888,0571-64185888
建德千岛湖假日酒店 ,0571-60900585,0571-64790888
建德望江宾馆  ,0571-64791125,0571-64790138、64790016
建德西湖山庄大酒店 ,0571-64561382,0571-64561382
约克酒店（建德新安江店） ,0571-24517555,0571-24517000
建德外海月亮湾大酒店  ,0571-64000999,0571-64000888
建德罗桐花园大酒店  ,0571-64001001,0571-64001088
建德千岛宾馆  ,0571-64790365,0571-64790918
建德新东方商务酒店 ,0571-64110571,0571-64105888、64110585
义乌天恒国际大酒店 ,0579-85116789,0579-85888888
义乌世贸·君亭城中城酒店 ,0579-85129668,0579-85103666
义乌世贸·君亭华丰酒店 ,0579-85092966,0579-85092666
义乌工人北路星程黄金大酒店 ,0579-85548588,0579-85471888
义乌威顿酒店 ,0579-85578633,0579-85578555
义乌银都酒店  ,0579-85550209,0579-85588888
义乌海德建国酒店（原义乌海德华美达酒店） ,0579-86327111,0579-86222222
义乌迪元酒店  ,0579-85230111,0579-85566999
义乌怡嘉金穗酒店 ,0579-83825588,0579-89965888
义乌乐尚豪华酒店 ,0579-89900501,0579-89903999
义乌颐和大酒店  ,0579-83818886,0579-83818888
义乌普济特华都国际连锁酒店 ,0579-85412228,0579-85668088
义乌幸福湖国际会议中心 ,0579-85788880,0579-85788888
义乌巴里岛广场酒店 ,0579-85279666,0579-85238888、85279651
义乌大酒店  ,0579-85556228,0579-85559999
义乌华美达广场之江大酒店  ,0579-85521666,0579-85388888
义乌金达宾馆 ,0579-85621278,0579-85290000
义乌铭景之恋旅馆 ,0579-85155000,0579-85155555
义乌云顶酒店 ,0579-85573877,0579-81571777
义乌悦嘉商务宾馆 ,0579-85559274,0579-81582188
如家快捷酒店（义乌商贸城城中北路店）(原义乌城中北路店) ,0579-85689988,0579-85689999
义乌和方缘商务宾馆 ,0579-81582178,0579-81589388
义乌嘉恒大酒店 ,0579-85095388,0579-85095888
义乌江南时尚宾馆 ,0579-83825556,0579-83825555
义乌卡地亚宾馆 ,0579-85205867,0579-85590482
义乌临海商会宾馆 ,0579-85593898,0579-85577999
义乌连园旅馆 ,0579-85548213,0579-85577255
义乌瓯丽时尚酒店 ,0579-89973388,0579-89904888
义乌友好假日宾馆 ,0579-85630111,0579-85638888
义乌怡嘉风尚酒店 ,0579-85896699,0579-85896666
义乌怡嘉印象酒店 ,0579-85896688,0579-83800888
义乌益祥宾馆 ,0579-85230367,0579-85230367
义乌宇洲时尚宾馆 ,0579-81586555,0579-81586555
义乌锦都酒店  ,0579-85268999,0579-85268888
义乌国际大厦 ,0579-85627666,0579-85277777、85627759
义乌钱塘凯信大酒店  ,0579-85566666,0579-85566888
义乌伊美广场酒店  ,0579-85278999,0579-85278888
义乌最佳西方海洋酒店  ,0579-85188999,0579-85188888
义乌半岛星际酒店  ,0579-89969988,0579-89968888
义乌百瑞酒店 ,0579-85399888,0579-85366888
义乌国恒宾馆（原天逸宾馆） ,0579-85571112,0579-85571111
义乌国瑞宾馆 ,0579-85215678,0579-85215678
义乌豪庭假日宾馆 ,0579-85277789,0579-85690999
义乌皇轩大酒店 ,0579-85453380,0579-85880555
义乌假日宾馆 ,0579-85233133,0579-85233888
义乌索菲特酒店 ,0579-85563555,0579-85568888、85577902
义乌维尔顿酒店 ,0579-81571828,0579-85627888
义乌威斯汀酒店 ,0579-85092888,0579-85091300、85091500
义乌雪峰大酒店 ,0579-85160888,0579-85628888
义乌怡嘉洲际酒店 ,0579-83825588,0579-83808888
义乌最佳美洲悦庭国际酒店 ,0579-89988555,0579-89989999
汉庭快捷酒店（义乌宾王店） ,0579-85830033,0579-85830099
锦江之星（义乌店） ,0579-85527577,0579-85961555
科逸连锁酒店（义乌城中路店） ,0579-85257966,0579-85257999
莫泰168（义乌宾王路老火车站店） ,0579-85777555,0579-85999111
义乌奥美嘉商务酒店 ,0579-81576558,0579-81576888
义乌白天鹅宾馆 ,0579-85538088,0579-85135977
义乌城市花园酒店 ,0579-89999988,0579-81585888
义乌党校迎宾馆 ,0579-85205599,0579-85205888
义乌福驰商务酒店 ,0579-85591110,0579-85591111
义乌富恒大酒店 ,0579-85212999,0579-85361888
义乌飞翔时尚酒店 ,0579-85873533,0579-85873333
义乌贵都酒店 ,0579-85576969,0579-85460000
义乌华商宾馆 ,0579-85810999,0579-85810666
义乌舰洋酒店 ,0579-85135789,0579-85096666
义乌卡地亚派尚酒店 ,0579-85205867,0579-85802888
义乌科逸连锁酒店（江滨路店） ,0579-85377200,0579-85216222
义乌名景精致酒店 ,0579-85117989,0579-85118222
义乌米兰假日酒店 ,0579-85855588,0579-85855555
义乌欧瑞宾馆 ,0579-85559066,0579-85270666
义乌珀丽酒店 ,0579-85441266,0579-85639888
义乌瑞琪·望峰商务酒店 ,0579-85342222,0579-85348888
义乌时代酒店 ,0579-85592988,0579-85931888
义乌天缘宾馆 ,0579-85538622,0579-85259888
义乌银座商务酒店 ,0579-89893636,0579 -89893666
浙江假日之星酒店（义乌店） ,0579-85223777,0579-85213333
义乌蓝波湾商务酒店 ,0579-89908399,0579-89906888
龙游蓝天清水湾国际大酒店 ,0570-7188001,0570-7188888
龙游金峰国贸大酒店  ,0570-7221566,0570-7018666
龙游广银大酒店 ,0570-7013788,0570-7018888
龙游简爱风尚酒店 ,0570-7116078,0570-7886888
龙游零距离风尚酒店 ,0579-87639858,0570-7882090、7882000
最佳西方金华世贸大饭店  ,0579-82588889,0579-82588888
金华国贸景澜大饭店（原国贸宾馆）  ,0579-82370265,0579-82056688
金华天悦五星大酒店  ,0579-83528855,0579-83706666
金华国际大酒店  ,0579-82339988,0579-82336888
金华六合大酒店 ,0579-89808998,0579-89805888
浙师大国际交流中心（原浙师粤海酒店） ,0579-82797777,0579-82796888
金华汇金门商务酒店 ,0579-82491666,0579-82451555、82451556
金华申华商务酒店 ,0579-82451388,0579-82451888
金华天宁楼宾馆（军分区招待所） ,0579-82333111,0579-82305588
金华禧悦精品酒店 ,0579-82626166,0579-82558666
金华99时尚宾馆 ,0579-83183655,0579-83183655
金华零距离风尚酒店 ,0579-87639858,0579-82529000
金华旅游大厦快捷酒店 ,0579-82389988,0579-83920000
金华丽苑商务酒店 ,0579-82059858,0579-82068988
金华满堂红商务酒店 ,0579-82281888,0579-83928666、83202000、83207555
金华索菲亚皇嘉宾馆 ,0579-82451588,0579-82451666
金华天润酒店 ,0579-83531111,0579-83515678
金华香格里拉酒店 ,0579-89181222,0579-89181111
金华星瑞商务酒店 ,0579-82626000,0579-82583333
金华银河宾馆 ,0579-83147002,0579-89809999
金华银河商务酒店 ,0579-89809910,0579-89801666
金华紫东驿站商务酒店  ,0579-82059000,0579-82059888
金华紫阳豪庭大酒店 ,0579-82376188,0579-82056888
速8酒店（金华宾虹路店） ,0579-89109318,0579-89109333
浙江假日之星酒店（金华店） ,0579-82558858,0579-82686688
金华嘉恒澜庭大酒店 ,0579-82208771,0579-82208888
金华宾馆  ,0579-82372713,0579-82063388
金华四季瑞丽大酒店 ,0579-82395099,0579-82609888、82609988
金华望江饭店  ,0579-82336668,0579-82336688
金华万通商务酒店 ,0579-82136398,0579-82219999
金华豪森假日花园大酒店 ,0579-82266088,0579-82265888
金华嘉恒宾馆 ,0579-82076083,0579-82076888
金华君庭酒店 ,0579-89151112,0579-89151111
金华泰元商务大酒店 ,0579-82077058,0579-82077888
金华香榭丽舍假日酒店 ,0579-83147368,0579-83209999
锦江之星（金华宾虹路店） ,0579-82373666,0579-83187188
莫泰168（八一南街金华商城店） ,0579-82063332,0579-82063333
如家快捷酒店（金华八一南街店） ,0579-83512929,0579-83512222
如家快捷酒店（金华胜利街店） ,0579-83511616,0579-83529988
最佳西方镇江国际饭店  ,0511-85021777,0511-85021888
镇江金鳌苑大酒店  ,0511-85236615,0511-85229999
镇江万达喜来登酒店 ,0511-89999888,0511-89999999
镇江明都大饭店 ,0511-89983111,0511-88778888
镇江碧榆园 ,0511-84424865,0511-84430888
镇江大酒店  ,0511-85230145,0511-88980000
镇江金陵润扬大桥酒店 ,0511-85300999,0511-85300888
镇江丽景国际饭店 ,0511-88691819,0511-88691888
镇江北湖宾馆(原金龙大酒店) ,0511-88913100,0511-85239999
镇江东瀚宾馆 ,0511-88911200,0511-88911222
镇江新区逸翠园大酒店 ,0511-88988282,0511-83387888
镇江宜必思酒店 ,0511-85950388,0511-85951111
汉庭海友客栈（镇江江苏大学店） ,0511-88782600,0511-88781600
汉庭快捷酒店（镇江解放路店） ,0511-85900118,0511-85983555
锦江之星（黄山北路店） ,0511-86100777,0511-86100666
尚客优连锁酒店（镇江日报社店） ,0511-85017368,0511-85083088
维也纳酒店（镇江火车站店） ,0511-89987788,0511-89987777
镇江京谷大厦宾馆 ,0511-84445800,0511-84445679、88981555
镇江君豪商务宾馆 ,0511-89982909,0511-89982888
镇江名尚宾馆 ,0511-88785793,0511-88987222
镇江麦莎速8酒店 ,0511-85936889,0511-85936888
镇江学府路速8酒店 ,0511-88798788,0511-88798988
镇江增华阁（城市森林）主题宾馆 ,0511-88983567,0511-88913000
镇江观海楼大酒店  ,0511-84445189,0511-84445669
镇江英皇酒店  ,0511-83177018,0511-83177100
汉庭快捷酒店（镇江大市口店） ,0511-88985333,0511-85083666
莫泰168（镇江解放路店） ,0511-85025168,0511-85031111
莫泰168（镇江金山公园长江路店） ,0511-85950168,0511-85956168
如家快捷酒店（镇江中山桥店） ,0511-85985777,0511-85113777
昆山君豪酒店 ,0512-57168860,0512-57168888
昆山太平洋酒店 ,0512-57258088,0512-57258666
昆山星程腾龙阁酒店式公寓 ,0512-57880889,0512-57880888
昆山华利大酒店  ,0512-57000188,0512-57001888
昆山两岸丽景酒店 ,0512-57357272,0512-57357171
昆山万怡酒店 ,0512-50728999,0512-50728888
昆山新港湾铂尔曼酒店 ,0512-57162066,0512-57169966
昆山中信酒店 ,0512-57710619,0512-57703999
昆山格林菲尔华美达大酒店 ,0512-55189988,0512-55189999
昆山景港花园酒店 ,0512-57390333,0512-57000999
昆山君泰商务酒店 ,0512-57533189,0512-57558800
昆山瑞士大酒店  ,0512-57885555,0512-57885788
昆山柏悦酒店 ,0512-57302608,0512-57320028
昆山华纳时尚酒店 ,0512-57880013,0512-57880088
昆山格蕾斯酒店 ,0512-50179199,0512-50179099
如家快捷酒店（昆山开发区青阳路店） ,0512-50368699,0512-50368688
昆山花桥希尔顿逸林酒店 ,0512-57600168,0512-57602222
昆山波尔曼酒店 ,0512-50317666,0512-50329666
昆山富贵大酒店  ,0512-57166688,0512-57166888
昆山锦溪湖大酒店 ,0512-57940098,0512-55205858&#9;&#9;&#9;
昆山美高美国际酒店 ,0512-57287999,0512-57288888
昆山玉荣国际大酒店 ,0512-50171490,0512-50171888
昆山裕元花园酒店 ,0512-57358838,0512-57373688
昆山百度商务宾馆 ,0512-50393795,0512-50393111
昆山柏庐商务酒店  ,0512-57538684,0512-57532323
昆山东方丽池商务酒店公寓 ,0512-57321266-808,0512-57166999、4006007970
昆山和月精致商务酒店 ,0512-57997968,0512-57995678
昆山金昆宾馆  ,0512-5752289,0512-57552905
昆山嘉乐国际商务酒店 ,0512-55131535,0512-57260777
昆山锦欣大酒店 ,0512-50356889,0512-50356888
昆山凯悦商务酒店 ,0512-50310999,0512-50310777、50311888
昆山上勤阳澄湖度假村  ,0512-57651843,0512-57651134
昆山樱桃时尚酒店 ,0512-57533079,0512-57122666
昆山悦心宾馆 ,0512-50321288,0512-50321288
昆山誉兴大酒店  ,0512-57886600,0512-57886666
襄阳会馆（昆山巴城馆） ,0512-86172210,0512-86172788
格林豪泰（昆山千灯古镇店） ,0512-55286998,0512-55158998
格林豪泰（昆山世茂广场店） ,0512-57608998,0512-57008998
锦江之星（昆山同丰路店） ,0512-81866388,0512-81866299
昆山城市酒店(原昆山秦都酒店) ,0512-55131166,0512-55131188、55131705
昆山创源商务酒店 ,0512-57005282,0512-50329688
昆山魅力金座商务酒店 ,0512-55217588,0512-57371888
昆山旭龙宾馆 ,0512-86186169,0512-86186168
莫泰168(昆山瓯尚店） ,0512-57265988,0512-55235888
莫泰168（昆山千灯镇店） ,0512-36611399,0512-55155168
如家快捷酒店（昆山亭林路店） ,0512-55238666,0512-55238999
昆山阳澄湖费尔蒙酒店 ,0512-57981018,0512-57800888
昆山一醉皇冠酒店  ,0512-57339999,0512-57338888
昆山宾馆  ,0512-57888111,0512-57888000
昆山东方云鼎温泉度假酒店 ,0512-55158057,0512-57699999
昆山大上海高尔夫度假村 ,0512-57890269,0512-57890088
昆山华东国际商务酒店 ,0512-57262611,0512-57262222
昆山嘉顿国际饭店  ,0512-57161000,0512-57161688
昆山昆体花园酒店 ,0512-57160808,0512-57160888
昆山龙乐宝曼酒店  ,0512-57650221,0512-57650222
昆山威尼斯假日酒店  ,0512-86166789,0512-57016888
昆山碧波苑度假村 ,0512-57898709,0512-57898711
昆山并蒂莲商务酒店 ,0512-57373798,0512-57331198
昆山衡山酒店公寓 ,0512-50103999,0512-50103888
昆山吉田国际酒店公寓 ,0512-57911999,0512-57911888
昆山凯迪城无忧酒店公寓 ,0512-55130399,0512-55135000
昆山凯盛商务酒店 ,0512-55236799,0512-55237888
昆山天鹤大酒店 ,0512-55152999,0512-55152888
昆山玉峰大厦宾馆  ,0512-57304878,0512-57303216
昆山一醉宾馆 ,0512-57913000,0512-57376666
昆山一醉天元宾馆  ,0512-57087666,0512-57087888
汉庭快捷酒店（昆山柏庐中路店） ,0512-55237666,0512-55238666
